Dataset,OpenML_ID,Feature_Interval,IR,IR_Category,Features,Model,Oversampler,Variant,SVM,Precision,Recall,AUC_PR,GMean
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,DT,BSSMOTE w/o SVM,w/o SVM,--,0.7447 ± 0.0052,0.8600 ± 0.0518,0.6544 ± 0.0329,0.9117 ± 0.0264
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,DT,BorderlineSMOTE,Baseline,--,0.8354 ± 0.1173,0.8100 ± 0.1040,0.7031 ± 0.1553,0.8904 ± 0.0622
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,DT,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.8152 ± 0.0924,0.8100 ± 0.0762,0.6755 ± 0.0545,0.8890 ± 0.0371
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,DT,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.7840 ± 0.0902,0.8650 ± 0.0487,0.6950 ± 0.1083,0.9171 ± 0.0319
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,DT,KMeansSMOTE,Baseline,--,0.8387 ± 0.0533,0.8700 ± 0.0447,0.7431 ± 0.0621,0.9236 ± 0.0244
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,DT,None,None,--,0.8552 ± 0.0819,0.7950 ± 0.0371,0.7016 ± 0.0817,0.8845 ± 0.0229
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,DT,SMOTE,Baseline,--,0.8837 ± 0.0172,0.8700 ± 0.0542,0.7817 ± 0.0430,0.9264 ± 0.0284
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,DT,SVMSMOTE,Baseline,--,0.7382 ± 0.0632,0.8650 ± 0.0576,0.6542 ± 0.0860,0.9135 ± 0.0333
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,LightGBM,ADASYN,Baseline,--,0.9893 ± 0.0146,0.9350 ± 0.0487,0.9866 ± 0.0088,0.9662 ± 0.0255
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,LightGBM,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.9950 ± 0.0112,0.9450 ± 0.0570,0.9893 ± 0.0082,0.9715 ± 0.0296
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,LightGBM,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.9894 ± 0.0145,0.9350 ± 0.0518,0.9892 ± 0.0091,0.9661 ± 0.0269
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,LightGBM,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.9893 ± 0.0146,0.9000 ± 0.0810,0.9899 ± 0.0062,0.9474 ± 0.0431
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,LightGBM,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.9947 ± 0.0118,0.9450 ± 0.0411,0.9919 ± 0.0052,0.9717 ± 0.0212
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,LightGBM,BSSMOTE w/o SVM,w/o SVM,--,0.9788 ± 0.0343,0.9400 ± 0.0518,0.9861 ± 0.0087,0.9682 ± 0.0283
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,LightGBM,BorderlineSMOTE,Baseline,--,0.9949 ± 0.0114,0.9050 ± 0.0873,0.9869 ± 0.0079,0.9501 ± 0.0461
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,LightGBM,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.9950 ± 0.0112,0.9200 ± 0.0694,0.9890 ± 0.0073,0.9583 ± 0.0360
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,LightGBM,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.9949 ± 0.0114,0.9400 ± 0.0576,0.9919 ± 0.0068,0.9689 ± 0.0299
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,LightGBM,KMeansSMOTE,Baseline,--,0.9698 ± 0.0390,0.9300 ± 0.0758,0.9898 ± 0.0075,0.9621 ± 0.0404
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,LightGBM,None,None,--,0.9897 ± 0.0141,0.9200 ± 0.0873,0.9895 ± 0.0072,0.9577 ± 0.0464
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,LightGBM,SMOTE,Baseline,--,0.9843 ± 0.0144,0.9500 ± 0.0468,0.9900 ± 0.0092,0.9736 ± 0.0246
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,LightGBM,SVMSMOTE,Baseline,--,0.9760 ± 0.0412,0.9600 ± 0.0379,0.9909 ± 0.0070,0.9783 ± 0.0198
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,RF,ADASYN,Baseline,--,1.0000 ± 0.0000,0.8250 ± 0.1016,0.9884 ± 0.0071,0.9069 ± 0.0569
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,RF,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,1.0000 ± 0.0000,0.8100 ± 0.0762,0.9921 ± 0.0066,0.8992 ± 0.0428
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,RF,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,1.0000 ± 0.0000,0.8150 ± 0.0840,0.9923 ± 0.0055,0.9018 ± 0.0478
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,RF,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,1.0000 ± 0.0000,0.7750 ± 0.0707,0.9896 ± 0.0061,0.8795 ± 0.0414
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,RF,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,1.0000 ± 0.0000,0.8000 ± 0.0530,0.9937 ± 0.0085,0.8940 ± 0.0298
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,RF,BSSMOTE w/o SVM,w/o SVM,--,1.0000 ± 0.0000,0.8400 ± 0.1207,0.9911 ± 0.0052,0.9145 ± 0.0677
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,RF,BorderlineSMOTE,Baseline,--,1.0000 ± 0.0000,0.7800 ± 0.0737,0.9910 ± 0.0064,0.8824 ± 0.0411
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,RF,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.9943 ± 0.0128,0.8050 ± 0.0737,0.9884 ± 0.0085,0.8962 ± 0.0422
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,RF,Full BSSMOTE RBF,Full BSSMOTE,RBF,1.0000 ± 0.0000,0.8300 ± 0.0542,0.9947 ± 0.0054,0.9106 ± 0.0296
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,RF,KMeansSMOTE,Baseline,--,0.9944 ± 0.0124,0.8750 ± 0.0586,0.9885 ± 0.0092,0.9348 ± 0.0308
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,RF,None,None,--,1.0000 ± 0.0000,0.8050 ± 0.1052,0.9903 ± 0.0067,0.8956 ± 0.0610
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,RF,SMOTE,Baseline,--,0.9947 ± 0.0118,0.8900 ± 0.0518,0.9920 ± 0.0065,0.9428 ± 0.0273
Mfeat-karhunen,1020,Features > 30,9.0,Medium,64,RF,SVMSMOTE,Baseline,--,1.0000 ± 0.0000,0.9300 ± 0.0694,0.9903 ± 0.0059,0.9638 ± 0.0364
Optdigits,980,Features > 30,8.8252,Medium,64,DT,ADASYN,Baseline,--,0.7927 ± 0.0318,0.8566 ± 0.0185,0.6936 ± 0.0289,0.9136 ± 0.0097
Optdigits,980,Features > 30,8.8252,Medium,64,DT,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.7889 ± 0.0525,0.8847 ± 0.0222,0.7105 ± 0.0603,0.9277 ± 0.0148
Optdigits,980,Features > 30,8.8252,Medium,64,DT,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.7943 ± 0.0241,0.8881 ± 0.0297,0.7170 ± 0.0340,0.9299 ± 0.0158
Optdigits,980,Features > 30,8.8252,Medium,64,DT,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.8645 ± 0.0388,0.8759 ± 0.0301,0.7691 ± 0.0233,0.9283 ± 0.0139
Optdigits,980,Features > 30,8.8252,Medium,64,DT,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.8574 ± 0.0266,0.8549 ± 0.0306,0.7475 ± 0.0233,0.9169 ± 0.0155
Optdigits,980,Features > 30,8.8252,Medium,64,DT,BSSMOTE w/o SVM,w/o SVM,--,0.7665 ± 0.0262,0.8846 ± 0.0314,0.6895 ± 0.0244,0.9258 ± 0.0151
Optdigits,980,Features > 30,8.8252,Medium,64,DT,BorderlineSMOTE,Baseline,--,0.8363 ± 0.0156,0.8392 ± 0.0100,0.7183 ± 0.0190,0.9075 ± 0.0060
Optdigits,980,Features > 30,8.8252,Medium,64,DT,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.7864 ± 0.0581,0.8934 ± 0.0291,0.7145 ± 0.0681,0.9318 ± 0.0188
Optdigits,980,Features > 30,8.8252,Medium,64,DT,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.7951 ± 0.0178,0.8742 ± 0.0417,0.7080 ± 0.0360,0.9228 ± 0.0217
Optdigits,980,Features > 30,8.8252,Medium,64,DT,KMeansSMOTE,Baseline,--,0.8476 ± 0.0364,0.8934 ± 0.0168,0.7677 ± 0.0246,0.9364 ± 0.0071
Optdigits,980,Features > 30,8.8252,Medium,64,DT,None,None,--,0.8560 ± 0.0365,0.8620 ± 0.0377,0.7517 ± 0.0396,0.9205 ± 0.0195
Optdigits,980,Features > 30,8.8252,Medium,64,DT,SMOTE,Baseline,--,0.8755 ± 0.0285,0.8776 ± 0.0218,0.7806 ± 0.0248,0.9300 ± 0.0109
Optdigits,980,Features > 30,8.8252,Medium,64,DT,SVMSMOTE,Baseline,--,0.8591 ± 0.0506,0.9072 ± 0.0270,0.7897 ± 0.0642,0.9443 ± 0.0166
Optdigits,980,Features > 30,8.8252,Medium,64,LightGBM,ADASYN,Baseline,--,0.9839 ± 0.0117,0.9545 ± 0.0169,0.9948 ± 0.0025,0.9761 ± 0.0090
Optdigits,980,Features > 30,8.8252,Medium,64,LightGBM,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.9664 ± 0.0095,0.9546 ± 0.0169,0.9922 ± 0.0038,0.9751 ± 0.0088
Optdigits,980,Features > 30,8.8252,Medium,64,LightGBM,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.9662 ± 0.0078,0.9510 ± 0.0261,0.9920 ± 0.0054,0.9733 ± 0.0137
Optdigits,980,Features > 30,8.8252,Medium,64,LightGBM,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.9926 ± 0.0077,0.9423 ± 0.0171,0.9951 ± 0.0022,0.9703 ± 0.0091
Optdigits,980,Features > 30,8.8252,Medium,64,LightGBM,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.9907 ± 0.0066,0.9441 ± 0.0259,0.9943 ± 0.0013,0.9711 ± 0.0136
Optdigits,980,Features > 30,8.8252,Medium,64,LightGBM,BSSMOTE w/o SVM,w/o SVM,--,0.9701 ± 0.0160,0.9615 ± 0.0147,0.9932 ± 0.0030,0.9789 ± 0.0082
Optdigits,980,Features > 30,8.8252,Medium,64,LightGBM,BorderlineSMOTE,Baseline,--,0.9798 ± 0.0152,0.9388 ± 0.0334,0.9942 ± 0.0043,0.9677 ± 0.0178
Optdigits,980,Features > 30,8.8252,Medium,64,LightGBM,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.9596 ± 0.0102,0.9563 ± 0.0164,0.9911 ± 0.0049,0.9756 ± 0.0087
Optdigits,980,Features > 30,8.8252,Medium,64,LightGBM,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.9752 ± 0.0145,0.9580 ± 0.0169,0.9921 ± 0.0033,0.9774 ± 0.0089
Optdigits,980,Features > 30,8.8252,Medium,64,LightGBM,KMeansSMOTE,Baseline,--,0.9890 ± 0.0076,0.9441 ± 0.0228,0.9948 ± 0.0040,0.9710 ± 0.0119
Optdigits,980,Features > 30,8.8252,Medium,64,LightGBM,None,None,--,0.9926 ± 0.0078,0.9423 ± 0.0267,0.9949 ± 0.0031,0.9703 ± 0.0140
Optdigits,980,Features > 30,8.8252,Medium,64,LightGBM,SMOTE,Baseline,--,0.9890 ± 0.0077,0.9476 ± 0.0255,0.9949 ± 0.0032,0.9728 ± 0.0134
Optdigits,980,Features > 30,8.8252,Medium,64,LightGBM,SVMSMOTE,Baseline,--,0.9773 ± 0.0145,0.9702 ± 0.0212,0.9954 ± 0.0032,0.9837 ± 0.0109
Optdigits,980,Features > 30,8.8252,Medium,64,RF,ADASYN,Baseline,--,0.9904 ± 0.0003,0.9021 ± 0.0325,0.9923 ± 0.0021,0.9492 ± 0.0171
Optdigits,980,Features > 30,8.8252,Medium,64,RF,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.9866 ± 0.0087,0.9108 ± 0.0311,0.9905 ± 0.0034,0.9536 ± 0.0166
Optdigits,980,Features > 30,8.8252,Medium,64,RF,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.9847 ± 0.0110,0.9074 ± 0.0251,0.9903 ± 0.0051,0.9517 ± 0.0136
Optdigits,980,Features > 30,8.8252,Medium,64,RF,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.9921 ± 0.0083,0.8882 ± 0.0271,0.9927 ± 0.0031,0.9420 ± 0.0146
Optdigits,980,Features > 30,8.8252,Medium,64,RF,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,1.0000 ± 0.0000,0.8916 ± 0.0300,0.9936 ± 0.0043,0.9442 ± 0.0158
Optdigits,980,Features > 30,8.8252,Medium,64,RF,BSSMOTE w/o SVM,w/o SVM,--,0.9849 ± 0.0053,0.9126 ± 0.0372,0.9917 ± 0.0026,0.9544 ± 0.0196
Optdigits,980,Features > 30,8.8252,Medium,64,RF,BorderlineSMOTE,Baseline,--,0.9918 ± 0.0085,0.8671 ± 0.0356,0.9902 ± 0.0053,0.9307 ± 0.0194
Optdigits,980,Features > 30,8.8252,Medium,64,RF,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.9884 ± 0.0081,0.9039 ± 0.0355,0.9906 ± 0.0035,0.9500 ± 0.0188
Optdigits,980,Features > 30,8.8252,Medium,64,RF,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.9807 ± 0.0154,0.9004 ± 0.0383,0.9886 ± 0.0044,0.9478 ± 0.0206
Optdigits,980,Features > 30,8.8252,Medium,64,RF,KMeansSMOTE,Baseline,--,0.9887 ± 0.0044,0.9161 ± 0.0249,0.9951 ± 0.0020,0.9565 ± 0.0131
Optdigits,980,Features > 30,8.8252,Medium,64,RF,None,None,--,0.9961 ± 0.0053,0.8846 ± 0.0226,0.9935 ± 0.0034,0.9403 ± 0.0119
Optdigits,980,Features > 30,8.8252,Medium,64,RF,SMOTE,Baseline,--,0.9943 ± 0.0052,0.9231 ± 0.0272,0.9948 ± 0.0028,0.9604 ± 0.0142
Optdigits,980,Features > 30,8.8252,Medium,64,RF,SVMSMOTE,Baseline,--,0.9816 ± 0.0090,0.9300 ± 0.0241,0.9944 ± 0.0024,0.9633 ± 0.0125
Satellite,40900,Features > 30,67.0,Extreme,36,DT,ADASYN,Baseline,--,0.4588 ± 0.1350,0.6667 ± 0.1764,0.3211 ± 0.1385,0.8050 ± 0.1130
Satellite,40900,Features > 30,67.0,Extreme,36,DT,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.3259 ± 0.0484,0.8533 ± 0.1282,0.2773 ± 0.0372,0.9086 ± 0.0665
Satellite,40900,Features > 30,67.0,Extreme,36,DT,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.3470 ± 0.0430,0.8400 ± 0.1382,0.2919 ± 0.0444,0.9026 ± 0.0727
Satellite,40900,Features > 30,67.0,Extreme,36,DT,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.6591 ± 0.1280,0.7333 ± 0.1054,0.4783 ± 0.0597,0.8517 ± 0.0598
Satellite,40900,Features > 30,67.0,Extreme,36,DT,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.5644 ± 0.0334,0.5600 ± 0.1535,0.3210 ± 0.0768,0.7396 ± 0.1061
Satellite,40900,Features > 30,67.0,Extreme,36,DT,BSSMOTE w/o SVM,w/o SVM,--,0.2649 ± 0.0558,0.7867 ± 0.1282,0.2150 ± 0.0662,0.8696 ± 0.0727
Satellite,40900,Features > 30,67.0,Extreme,36,DT,BorderlineSMOTE,Baseline,--,0.5998 ± 0.0879,0.7333 ± 0.1333,0.4407 ± 0.0794,0.8502 ± 0.0748
Satellite,40900,Features > 30,67.0,Extreme,36,DT,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.3380 ± 0.0383,0.8400 ± 0.1115,0.2852 ± 0.0401,0.9032 ± 0.0600
Satellite,40900,Features > 30,67.0,Extreme,36,DT,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.3245 ± 0.0833,0.7867 ± 0.1095,0.2611 ± 0.0843,0.8737 ± 0.0602
Satellite,40900,Features > 30,67.0,Extreme,36,DT,KMeansSMOTE,Baseline,--,0.5849 ± 0.1362,0.6933 ± 0.1011,0.4060 ± 0.0883,0.8274 ± 0.0593
Satellite,40900,Features > 30,67.0,Extreme,36,DT,None,None,--,0.6551 ± 0.1344,0.7200 ± 0.0869,0.4687 ± 0.0712,0.8444 ± 0.0501
Satellite,40900,Features > 30,67.0,Extreme,36,DT,SMOTE,Baseline,--,0.4771 ± 0.0695,0.7200 ± 0.1095,0.3512 ± 0.0952,0.8415 ± 0.0636
Satellite,40900,Features > 30,67.0,Extreme,36,DT,SVMSMOTE,Baseline,--,0.5262 ± 0.1536,0.6267 ± 0.1211,0.3279 ± 0.0755,0.7846 ± 0.0768
Satellite,40900,Features > 30,67.0,Extreme,36,LightGBM,ADASYN,Baseline,--,0.7746 ± 0.0681,0.7200 ± 0.1193,0.8336 ± 0.0664,0.8447 ± 0.0721
Satellite,40900,Features > 30,67.0,Extreme,36,LightGBM,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.4533 ± 0.0716,0.7867 ± 0.1192,0.7996 ± 0.0994,0.8784 ± 0.0688
Satellite,40900,Features > 30,67.0,Extreme,36,LightGBM,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.4695 ± 0.0964,0.8000 ± 0.1491,0.7717 ± 0.0628,0.8849 ± 0.0826
Satellite,40900,Features > 30,67.0,Extreme,36,LightGBM,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.9057 ± 0.0721,0.6666 ± 0.1247,0.8291 ± 0.0730,0.8131 ± 0.0777
Satellite,40900,Features > 30,67.0,Extreme,36,LightGBM,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.9211 ± 0.0839,0.6800 ± 0.1726,0.8431 ± 0.0775,0.8186 ± 0.1070
Satellite,40900,Features > 30,67.0,Extreme,36,LightGBM,BSSMOTE w/o SVM,w/o SVM,--,0.4200 ± 0.0699,0.8267 ± 0.0596,0.7732 ± 0.0575,0.9007 ± 0.0307
Satellite,40900,Features > 30,67.0,Extreme,36,LightGBM,BorderlineSMOTE,Baseline,--,0.8147 ± 0.1108,0.7200 ± 0.1283,0.8117 ± 0.0896,0.8445 ± 0.0767
Satellite,40900,Features > 30,67.0,Extreme,36,LightGBM,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.4522 ± 0.0770,0.8000 ± 0.1491,0.7972 ± 0.0766,0.8845 ± 0.0824
Satellite,40900,Features > 30,67.0,Extreme,36,LightGBM,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.3934 ± 0.0654,0.8400 ± 0.1116,0.7556 ± 0.0939,0.9056 ± 0.0584
Satellite,40900,Features > 30,67.0,Extreme,36,LightGBM,KMeansSMOTE,Baseline,--,0.8106 ± 0.1540,0.7200 ± 0.0730,0.8416 ± 0.0635,0.8463 ± 0.0436
Satellite,40900,Features > 30,67.0,Extreme,36,LightGBM,None,None,--,0.9446 ± 0.0874,0.6800 ± 0.1366,0.8404 ± 0.0861,0.8209 ± 0.0845
Satellite,40900,Features > 30,67.0,Extreme,36,LightGBM,SMOTE,Baseline,--,0.7984 ± 0.0807,0.7066 ± 0.1535,0.8386 ± 0.0671,0.8357 ± 0.0905
Satellite,40900,Features > 30,67.0,Extreme,36,LightGBM,SVMSMOTE,Baseline,--,0.8628 ± 0.0419,0.6800 ± 0.1520,0.8094 ± 0.0902,0.8196 ± 0.0945
Satellite,40900,Features > 30,67.0,Extreme,36,RF,ADASYN,Baseline,--,0.8157 ± 0.0658,0.6800 ± 0.1282,0.8235 ± 0.0702,0.8204 ± 0.0818
Satellite,40900,Features > 30,67.0,Extreme,36,RF,BSSMOTE w/o ADASYN Linear,w/o ADASYN,Linear,0.4453 ± 0.0819,0.8533 ± 0.0869,0.7946 ± 0.0852,0.9150 ± 0.0438
Satellite,40900,Features > 30,67.0,Extreme,36,RF,BSSMOTE w/o ADASYN RBF,w/o ADASYN,RBF,0.4426 ± 0.0735,0.8533 ± 0.0869,0.7899 ± 0.0892,0.9150 ± 0.0438
Satellite,40900,Features > 30,67.0,Extreme,36,RF,BSSMOTE w/o Clustering Linear,w/o Clustering,Linear,0.8859 ± 0.0825,0.6400 ± 0.1299,0.8302 ± 0.0904,0.7960 ± 0.0837
Satellite,40900,Features > 30,67.0,Extreme,36,RF,BSSMOTE w/o Clustering RBF,w/o Clustering,RBF,0.9381 ± 0.0852,0.6400 ± 0.1739,0.8272 ± 0.0876,0.7933 ± 0.1125
Satellite,40900,Features > 30,67.0,Extreme,36,RF,BSSMOTE w/o SVM,w/o SVM,--,0.4911 ± 0.0529,0.8000 ± 0.1054,0.7923 ± 0.0784,0.8872 ± 0.0584
Satellite,40900,Features > 30,67.0,Extreme,36,RF,BorderlineSMOTE,Baseline,--,0.8618 ± 0.0993,0.6267 ± 0.1300,0.8266 ± 0.0592,0.7869 ± 0.0879
Satellite,40900,Features > 30,67.0,Extreme,36,RF,Full BSSMOTE Linear,Full BSSMOTE,Linear,0.4562 ± 0.0694,0.8667 ± 0.0816,0.7972 ± 0.0904,0.9225 ± 0.0405
Satellite,40900,Features > 30,67.0,Extreme,36,RF,Full BSSMOTE RBF,Full BSSMOTE,RBF,0.4903 ± 0.0871,0.8400 ± 0.1011,0.7704 ± 0.0818,0.9090 ± 0.0552
Satellite,40900,Features > 30,67.0,Extreme,36,RF,KMeansSMOTE,Baseline,--,0.8338 ± 0.0762,0.7067 ± 0.1461,0.8384 ± 0.0423,0.8357 ± 0.0915
Satellite,40900,Features > 30,67.0,Extreme,36,RF,None,None,--,0.9179 ± 0.0487,0.6267 ± 0.1211,0.8302 ± 0.1033,0.7882 ± 0.0783
Satellite,40900,Features > 30,67.0,Extreme,36,RF,SMOTE,Baseline,--,0.7727 ± 0.0971,0.7067 ± 0.0760,0.8328 ± 0.0773,0.8382 ± 0.0449
Satellite,40900,Features > 30,67.0,Extreme,36,RF,SVMSMOTE,Baseline,--,0.8360 ± 0.1242,0.6800 ± 0.0989,0.8215 ± 0.0514,0.8218 ± 0.0602
